file_name,label
100intensity_frame_bad.npz,0
100intensity_frame_good.npz,1
102intensity_frame_bad.npz,0
103intensity_frame_bad.npz,0
103intensity_frame_good.npz,1
105intensity_frame_bad.npz,0
106intensity_frame_bad.npz,0
106intensity_frame_good.npz,1
107intensity_frame_bad.npz,0
107intensity_frame_good.npz,1
108intensity_frame_bad.npz,0
108intensity_frame_good.npz,1
109intensity_frame_good.npz,1
10intensity_frame_bad.npz,0
10intensity_frame_good.npz,1
110intensity_frame_bad.npz,0
110intensity_frame_good.npz,1
111intensity_frame_bad.npz,0
111intensity_frame_good.npz,1
112intensity_frame_bad.npz,0
112intensity_frame_good.npz,1
113intensity_frame_good.npz,1
114intensity_frame_good.npz,1
115intensity_frame_bad.npz,0
115intensity_frame_good.npz,1
116intensity_frame_bad.npz,0
117intensity_frame_bad.npz,0
117intensity_frame_good.npz,1
118intensity_frame_bad.npz,0
118intensity_frame_good.npz,1
119intensity_frame_good.npz,1
11intensity_frame_bad.npz,0
11intensity_frame_good.npz,1
120intensity_frame_good.npz,1
121intensity_frame_good.npz,1
122intensity_frame_good.npz,1
123intensity_frame_good.npz,1
124intensity_frame_good.npz,1
125intensity_frame_good.npz,1
126intensity_frame_good.npz,1
127intensity_frame_good.npz,1
12intensity_frame_bad.npz,0
12intensity_frame_good.npz,1
131intensity_frame_good.npz,1
132intensity_frame_good.npz,1
134intensity_frame_good.npz,1
135intensity_frame_good.npz,1
137intensity_frame_good.npz,1
138intensity_frame_good.npz,1
139intensity_frame_good.npz,1
13intensity_frame_bad.npz,0
140intensity_frame_good.npz,1
141intensity_frame_good.npz,1
142intensity_frame_good.npz,1
143intensity_frame_good.npz,1
144intensity_frame_good.npz,1
146intensity_frame_good.npz,1
147intensity_frame_good.npz,1
148intensity_frame_good.npz,1
149intensity_frame_good.npz,1
14intensity_frame_good.npz,1
150intensity_frame_good.npz,1
151intensity_frame_good.npz,1
152intensity_frame_good.npz,1
153intensity_frame_good.npz,1
154intensity_frame_good.npz,1
155intensity_frame_good.npz,1
156intensity_frame_good.npz,1
157intensity_frame_good.npz,1
158intensity_frame_good.npz,1
160intensity_frame_good.npz,1
161intensity_frame_good.npz,1
162intensity_frame_good.npz,1
163intensity_frame_good.npz,1
164intensity_frame_good.npz,1
165intensity_frame_good.npz,1
166intensity_frame_good.npz,1
167intensity_frame_good.npz,1
169intensity_frame_good.npz,1
16intensity_frame_bad.npz,0
172intensity_frame_good.npz,1
173intensity_frame_good.npz,1
174intensity_frame_good.npz,1
175intensity_frame_good.npz,1
176intensity_frame_good.npz,1
177intensity_frame_good.npz,1
179intensity_frame_good.npz,1
17intensity_frame_bad.npz,0
180intensity_frame_good.npz,1
181intensity_frame_good.npz,1
182intensity_frame_good.npz,1
183intensity_frame_good.npz,1
184intensity_frame_good.npz,1
185intensity_frame_good.npz,1
186intensity_frame_good.npz,1
187intensity_frame_good.npz,1
188intensity_frame_good.npz,1
18intensity_frame_bad.npz,0
190intensity_frame_good.npz,1
191intensity_frame_good.npz,1
192intensity_frame_good.npz,1
193intensity_frame_good.npz,1
194intensity_frame_good.npz,1
195intensity_frame_good.npz,1
196intensity_frame_good.npz,1
